"ordem_livro","id_testamento","nome","abrev"
1,1,"Gênesis","GN"
2,1,"Êxodo","EX"
3,1,"Levítico","LV"
4,1,"Números","NM"
5,1,"Deuteronômio","DT"
6,1,"Josué","JS"
7,1,"Juízes","JZ"
8,1,"Rute","RT"
9,1,"1 Samuel","1SM"
10,1,"2 Samuel","2SM"
11,1,"1 Reis","1RS"
12,1,"2 Reis","2RS"
13,1,"1 Crônicas","1CR"
14,1,"2 Crônicas","2CR"
15,1,"Esdras","ED"
16,1,"Neemias","NE"
17,1,"Ester","ET"
18,1,"Jó","JÓ"
19,1,"Salmos","SL"
20,1,"Provérbios","PV"
21,1,"Eclesiastes","EC"
22,1,"Cânticos","CT"
23,1,"Isaías","IS"
24,1,"Jeremias","JR"
25,1,"Lamentações","LM"
26,1,"Ezequiel","EZ"
27,1,"Daniel","DN"
28,1,"Oséias","OS"
29,1,"Joel","JL"
30,1,"Amós","AM"
31,1,"Obadias","OB"
32,1,"Jonas","JN"
33,1,"Miquéias","JN"
34,1,"Naum","NA"
35,1,"Habacuque","HC"
36,1,"Sofonias","SF"
37,1,"Ageu","AG"
38,1,"Zacarias","ZC"
39,1,"Malaquias","ML"
40,2,"Mateus","MT"
41,2,"Marcos","MC"
42,2,"Lucas","LC"
43,2,"João","JO"
44,2,"Atos dos Apóstolos","AT"
45,2,"Romanos","RM"
46,2,"1 Coríntios","1CO"
47,2,"2 Coríntios","2CO"
48,2,"Gálatas","GL"
49,2,"Efésios","EF"
50,2,"Filipenses","FP"
51,2,"Colossenses","CL"
52,2,"1 Tessalonicenses","1TS"
53,2,"2 Tessalonicenses","2TS"
54,2,"1 Timóteo","1TM"
55,2,"2 Timóteo","2TM"
56,2,"Tito","TT"
57,2,"Filemom","FL"
58,2,"Hebreus","HB"
59,2,"Tiago","TG"
60,2,"1 Pedro","1PE"
61,2,"2 Pedro","2PE"
62,2,"1 João","1JO"
63,2,"2 João","2JO"
64,2,"3 João","3JO"
65,2,"Judas","JD"
66,2,"Apocalipse","AP"
